Month,Atlanta_Precipitation,Atlanta_Snowfall,Boston_Precipitation,Boston_Snowfall,Chicago_Precipitation,Chicago_Snowfall,Philadelphia_Precipitation,Philadelphia_Snowfall
1,0.16,0,0.13,0.3,0.06,0.2,0.12,0.4
2,0.13,0,0.13,0.5,0.09,0.3,0.14,0.2
3,0.09,0,0.12,0.4,0.09,0.1,0.11,0.4
4,0.15,0,0.16,0.1,0.15,0.1,0.11,0
5,0.16,0,0.09,0,0.2,0,0.18,0
6,0.22,0,0.12,0,0.14,0,0.13,0
7,0.09,0,0.12,0,0.15,0,0.24,0
8,0.23,0,0.09,0,0.14,0,0.22,0
9,0.07,0,0.1,0,0.11,0,0.13,0
10,0.11,0,0.14,0,0.19,0,0.13,0
11,0.12,0,0.15,0,0.07,0.2,0.16,0.1
12,0.17,0,0.09,0.1,0.06,0.2,0.11,0.1